Date,PX_LAST,PX_INVERSE
11/30/2016,1.3414,0.7455
11/29/2016,1.3447,0.7437
11/28/2016,1.3471,0.7423
11/25/2016,1.3519,0.7397
11/24/2016,1.3495,0.741
11/23/2016,1.3447,0.7437
11/22/2016,1.3395,0.7465
11/21/2016,1.3469,0.7424
11/18/2016,1.3505,0.7405
11/17/2016,1.3415,0.7454
11/16/2016,1.3476,0.7421
11/15/2016,1.3531,0.739
11/14/2016,1.3577,0.7365
11/11/2016,1.3542,0.7384
11/10/2016,1.3424,0.7449
11/9/2016,1.3406,0.7459
11/8/2016,1.3366,0.7482
11/7/2016,1.3405,0.746
11/4/2016,1.3404,0.746
11/3/2016,1.3381,0.7473
11/2/2016,1.3386,0.747
11/1/2016,1.3385,0.7471
10/31/2016,1.339,0.7468
10/28/2016,1.3398,0.7464
10/27/2016,1.336,0.7485
10/26/2016,1.3362,0.7484
10/25/2016,1.3321,0.7507
10/24/2016,1.3336,0.7499
10/21/2016,1.3332,0.7501
10/20/2016,1.315,0.7605
10/19/2016,1.3081,0.7645
10/18/2016,1.3063,0.7655
10/17/2016,1.3148,0.7606
10/14/2016,1.3139,0.7611
10/13/2016,1.3248,0.7548
10/12/2016,1.3238,0.7554
10/11/2016,1.3238,0.7554
10/10/2016,1.3257,0.7543
10/7/2016,1.3296,0.7521
10/6/2016,1.3199,0.7576
10/5/2016,1.3211,0.7569
10/4/2016,1.3161,0.7598
10/3/2016,1.3076,0.7648
9/30/2016,1.3127,0.7618
9/29/2016,1.3098,0.7635
9/28/2016,1.3216,0.7567
9/27/2016,1.3214,0.7568
9/26/2016,1.3189,0.7582
9/23/2016,1.3172,0.7592
9/22/2016,1.3034,0.7672
9/21/2016,1.316,0.7599
9/20/2016,1.3222,0.7563
9/19/2016,1.3163,0.7597
9/16/2016,1.3212,0.7569
9/15/2016,1.3196,0.7578
9/14/2016,1.3173,0.7591
9/13/2016,1.3092,0.7638
9/12/2016,1.3107,0.763
9/9/2016,1.3049,0.7663
9/8/2016,1.2869,0.7771
9/7/2016,1.2843,0.7786
9/6/2016,1.2894,0.7756
9/5/2016,1.2941,0.7727
9/2/2016,1.2993,0.7696
9/1/2016,1.3116,0.7624
8/31/2016,1.3103,0.7632
8/30/2016,1.3039,0.7669
8/29/2016,1.3008,0.7688
8/26/2016,1.3003,0.7691
8/25/2016,1.2915,0.7743
8/24/2016,1.2922,0.7739
8/23/2016,1.2904,0.775
8/22/2016,1.2926,0.7736
8/19/2016,1.2871,0.7769
8/18/2016,1.282,0.78
8/17/2016,1.2895,0.7755
8/16/2016,1.2826,0.7797
8/15/2016,1.2923,0.7738
8/12/2016,1.2951,0.7721
8/11/2016,1.3036,0.7671
8/10/2016,1.3029,0.7675
8/9/2016,1.3154,0.7602
8/8/2016,1.3163,0.7597
8/5/2016,1.3172,0.7592
8/4/2016,1.3087,0.7641
