Date,PX_LAST,PX_INVERSE
11/30/2016,6.8894,0.1452
11/29/2016,6.9047,0.1448
11/28/2016,6.9153,0.1446
11/25/2016,6.9191,0.1445
11/24/2016,6.9219,0.1445
11/23/2016,6.919,0.1445
11/22/2016,6.89,0.1451
11/21/2016,6.8928,0.1451
11/18/2016,6.8864,0.1452
11/17/2016,6.8781,0.1454
11/16/2016,6.8804,0.1453
11/15/2016,6.859,0.1458
11/14/2016,6.86,0.1458
11/11/2016,6.812,0.1468
11/10/2016,6.8059,0.1469
11/9/2016,6.7915,0.1472
11/8/2016,6.7869,0.1473
11/7/2016,6.7766,0.1476
11/4/2016,6.7564,0.148
11/3/2016,6.765,0.1478
11/2/2016,6.757,0.148
11/1/2016,6.7657,0.1478
10/31/2016,6.7758,0.1476
10/28/2016,6.7789,0.1475
10/27/2016,6.7835,0.1474
10/26/2016,6.7711,0.1477
10/25/2016,6.7804,0.1475
10/24/2016,6.7752,0.1476
10/21/2016,6.767,0.1478
10/20/2016,6.7449,0.1483
10/19/2016,6.7378,0.1484
10/18/2016,6.7409,0.1483
10/17/2016,6.7375,0.1484
10/14/2016,6.7283,0.1486
10/13/2016,6.7274,0.1486
10/12/2016,6.7195,0.1488
10/11/2016,6.722,0.1488
10/10/2016,6.7074,0.1491
9/30/2016,6.6718,0.1499
9/29/2016,6.6672,0.15
9/28/2016,6.6751,0.1498
9/27/2016,6.6701,0.1499
9/26/2016,6.6689,0.1499
9/23/2016,6.6694,0.1499
9/22/2016,6.6648,0.15
9/21/2016,6.6688,0.15
9/20/2016,6.672,0.1499
9/19/2016,6.6685,0.15
9/14/2016,6.6747,0.1498
9/13/2016,6.6795,0.1497
9/12/2016,6.6802,0.1497
9/9/2016,6.685,0.1496
9/8/2016,6.668,0.15
9/7/2016,6.6625,0.1501
9/6/2016,6.67,0.1499
9/5/2016,6.6771,0.1498
9/2/2016,6.6805,0.1497
9/1/2016,6.675,0.1498
8/31/2016,6.6793,0.1497
8/30/2016,6.6807,0.1497
8/29/2016,6.683,0.1496
8/26/2016,6.6695,0.1499
8/25/2016,6.6595,0.1502
8/24/2016,6.659,0.1502
8/23/2016,6.6409,0.1506
8/22/2016,6.6507,0.1504
8/19/2016,6.6532,0.1503
8/18/2016,6.6312,0.1508
8/17/2016,6.6343,0.1507
8/16/2016,6.6253,0.1509
8/15/2016,6.638,0.1506
8/12/2016,6.6362,0.1507
8/11/2016,6.6337,0.1507
8/10/2016,6.636,0.1507
8/9/2016,6.6557,0.1502
8/8/2016,6.6614,0.1501
8/5/2016,6.6603,0.1501
8/4/2016,6.6418,0.1506
8/3/2016,6.6342,0.1507
8/2/2016,6.6272,0.1509
8/1/2016,6.6439,0.1505
7/29/2016,6.635,0.1507
7/28/2016,6.6576,0.1502
7/27/2016,6.67,0.1499
7/26/2016,6.672,0.1499
7/25/2016,6.6799,0.1497
7/22/2016,6.6795,0.1497
7/21/2016,6.6755,0.1498
7/20/2016,6.6778,0.1497
7/19/2016,6.6963,0.1493
7/18/2016,6.7045,0.1492
7/15/2016,6.6935,0.1494
7/14/2016,6.6835,0.1496
7/13/2016,6.6887,0.1495
7/12/2016,6.6885,0.1495
7/11/2016,6.696,0.1493
7/8/2016,6.6908,0.1495
7/7/2016,6.682,0.1497
7/6/2016,6.6886,0.1495
7/5/2016,6.686,0.1496
7/4/2016,6.6653,0.15
7/1/2016,6.6599,0.1502
6/30/2016,6.648,0.1504
6/29/2016,6.6368,0.1507
6/28/2016,6.6481,0.1504
6/27/2016,6.6474,0.1504
6/24/2016,6.6218,0.151
6/23/2016,6.5807,0.152
6/22/2016,6.5784,0.152
6/21/2016,6.591,0.1517
6/20/2016,6.582,0.1519
6/17/2016,6.587,0.1518
6/16/2016,6.5915,0.1517
6/15/2016,6.5818,0.1519
6/14/2016,6.597,0.1516
6/13/2016,6.5857,0.1518
6/8/2016,6.5624,0.1524
6/7/2016,6.5715,0.1522
6/6/2016,6.5637,0.1524
6/3/2016,6.5492,0.1527
6/2/2016,6.5845,0.1519
6/1/2016,6.58,0.152
5/31/2016,6.5854,0.1519
5/30/2016,6.5833,0.1519
5/27/2016,6.5655,0.1523
5/26/2016,6.5585,0.1525
5/25/2016,6.558,0.1525
5/24/2016,6.5571,0.1525
5/23/2016,6.5557,0.1525
5/20/2016,6.549,0.1527
5/19/2016,6.5495,0.1527
5/18/2016,6.5386,0.1529
5/17/2016,6.5204,0.1534
5/16/2016,6.5205,0.1534
5/13/2016,6.532,0.1531
5/12/2016,6.5167,0.1535
5/11/2016,6.4985,0.1539
5/10/2016,6.5208,0.1534
5/9/2016,6.5169,0.1534
5/6/2016,6.496,0.1539
5/5/2016,6.5102,0.1536
5/4/2016,6.5101,0.1536
5/3/2016,6.4945,0.154
4/29/2016,6.478,0.1544
4/28/2016,6.4759,0.1544
4/27/2016,6.498,0.1539
4/26/2016,6.4935,0.154
4/25/2016,6.4928,0.154
4/22/2016,6.4995,0.1539
4/21/2016,6.4823,0.1543
4/20/2016,6.4684,0.1546
4/19/2016,6.46,0.1548
4/18/2016,6.4752,0.1544
4/15/2016,6.4755,0.1544
4/14/2016,6.4826,0.1543
4/13/2016,6.4784,0.1544
4/12/2016,6.4645,0.1547
4/11/2016,6.4592,0.1548
4/8/2016,6.4636,0.1547
4/7/2016,6.4625,0.1547
4/6/2016,6.4809,0.1543
4/5/2016,6.4771,0.1544
4/1/2016,6.4818,0.1543
3/31/2016,6.4536,0.155
3/30/2016,6.4683,0.1546
3/29/2016,6.5078,0.1537
3/28/2016,6.5075,0.1537
3/25/2016,6.516,0.1535
3/24/2016,6.5147,0.1535
3/23/2016,6.5066,0.1537
3/22/2016,6.4902,0.1541
3/21/2016,6.4845,0.1542
3/18/2016,6.4716,0.1545
3/17/2016,6.4773,0.1544
3/16/2016,6.522,0.1533
3/15/2016,6.5145,0.1535
3/14/2016,6.5,0.1538
3/11/2016,6.4945,0.154
3/10/2016,6.5085,0.1536
3/9/2016,6.513,0.1535
3/8/2016,6.5047,0.1537
3/7/2016,6.5168,0.1534
3/4/2016,6.508,0.1537
3/3/2016,6.5347,0.153
3/2/2016,6.551,0.1526
3/1/2016,6.5521,0.1526
2/29/2016,6.552,0.1526
2/26/2016,6.5404,0.1529
2/25/2016,6.5335,0.1531
2/24/2016,6.5317,0.1531
2/23/2016,6.5272,0.1532
2/22/2016,6.5218,0.1533
2/19/2016,6.5223,0.1533
2/18/2016,6.5182,0.1534
2/17/2016,6.5285,0.1532
2/16/2016,6.5169,0.1534
2/15/2016,6.4962,0.1539
2/5/2016,6.5743,0.1521
2/4/2016,6.5696,0.1522
2/3/2016,6.577,0.152
2/2/2016,6.5798,0.152
2/1/2016,6.5784,0.152
1/29/2016,6.576,0.1521
1/28/2016,6.5753,0.1521
1/27/2016,6.578,0.152
1/26/2016,6.5826,0.1519
1/25/2016,6.5793,0.152
1/22/2016,6.5788,0.152
1/21/2016,6.58,0.152
1/20/2016,6.5784,0.152
1/19/2016,6.5786,0.152
1/18/2016,6.5788,0.152
1/15/2016,6.5849,0.1519
1/14/2016,6.59,0.1517
1/13/2016,6.5754,0.1521
1/12/2016,6.5729,0.1521
1/11/2016,6.5711,0.1522
1/8/2016,6.5948,0.1516
1/7/2016,6.5929,0.1517
1/6/2016,6.5559,0.1525
1/5/2016,6.5159,0.1535
1/4/2016,6.5335,0.1531
12/31/2015,6.4937,0.154
12/30/2015,6.4899,0.1541
12/29/2015,6.4857,0.1542
12/28/2015,6.4872,0.1541
12/25/2015,6.4759,0.1544
12/24/2015,6.4763,0.1544
12/23/2015,6.4776,0.1544
12/22/2015,6.4785,0.1544
12/21/2015,6.4807,0.1543
12/18/2015,6.4811,0.1543
12/17/2015,6.4837,0.1542
12/16/2015,6.4725,0.1545
12/15/2015,6.4623,0.1547
12/14/2015,6.4591,0.1548
12/11/2015,6.4552,0.1549
12/10/2015,6.4386,0.1553
12/9/2015,6.4281,0.1556
12/8/2015,6.4177,0.1558
12/7/2015,6.4082,0.1561
12/4/2015,6.4026,0.1562
12/3/2015,6.398,0.1563
12/2/2015,6.3987,0.1563
12/1/2015,6.3988,0.1563
11/30/2015,6.3984,0.1563
11/27/2015,6.3945,0.1564
11/26/2015,6.3895,0.1565
11/25/2015,6.3892,0.1565
11/24/2015,6.3889,0.1565
11/23/2015,6.3892,0.1565
11/20/2015,6.3847,0.1566
11/19/2015,6.3828,0.1567
11/18/2015,6.3847,0.1566
11/17/2015,6.3784,0.1568
11/16/2015,6.3702,0.157
11/13/2015,6.3737,0.1569
11/12/2015,6.3691,0.157
11/11/2015,6.3666,0.1571
11/10/2015,6.3617,0.1572
11/9/2015,6.3625,0.1572
11/6/2015,6.3535,0.1574
11/5/2015,6.3461,0.1576
11/4/2015,6.3366,0.1578
11/3/2015,6.3363,0.1578
11/2/2015,6.3373,0.1578
10/30/2015,6.3175,0.1583
10/29/2015,6.3564,0.1573
10/28/2015,6.3585,0.1573
10/27/2015,6.3525,0.1574
10/26/2015,6.3523,0.1574
10/23/2015,6.3506,0.1575
10/22/2015,6.358,0.1573
