Date,CAD,CNY
1981-06-10,1.2026,1.5341
1981-06-11,1.2054,1.5418
1981-06-12,1.2047,1.5264
1981-06-15,1.2019,1.5264
1981-06-16,1.204,1.5264
1981-06-17,1.2051,1.5371
1981-06-18,1.2059,1.5371
1981-06-19,1.206,1.5449
1981-06-22,1.2018,1.5449
1981-06-23,1.1991,1.5449
1981-06-24,1.1995,1.5557
1981-06-25,1.2008,1.5557
1981-06-26,1.2027,1.5557
1981-06-29,1.1998,1.5557
1981-06-30,1.2006,1.551
1981-07-01,1.2035,1.551
1981-07-02,1.2023,1.5634
1981-07-03,1.2018,1.5759
1981-07-06,1.2022,1.5822
1981-07-07,1.2027,1.5886
1981-07-08,1.2058,1.5886
1981-07-09,1.206,1.6108
1981-07-10,1.2031,1.6108
1981-07-13,1.2032,1.6028
1981-07-14,1.2056,1.6028
1981-07-15,1.2039,1.6028
1981-07-16,1.2042,1.6059
1981-07-17,1.2057,1.6059
1981-07-20,1.2068,1.6059
1981-07-21,1.2125,1.6059
1981-07-22,1.2129,1.6285
1981-07-23,1.2195,1.6285
1981-07-24,1.2083,1.6579
1981-07-27,1.2238,1.6298
1981-07-28,1.2267,1.6298
1981-07-29,1.227,1.6021
1981-07-30,1.225,1.5909
1981-07-31,1.2339,1.6099
1981-08-03,1.2426,1.6035
1981-08-04,1.2425,1.6179
1981-08-05,1.2425,1.6179
1981-08-06,1.2383,1.6293
1981-08-07,1.2421,1.6456
1981-08-10,1.2397,1.6374
1981-08-11,1.2323,1.6456
1981-08-12,1.2297,1.6456
1981-08-13,1.2303,1.6456
1981-08-14,1.2263,1.6407
1981-08-17,1.2227,1.6407
1981-08-18,1.2157,1.6407
1981-08-19,1.2113,1.6407
1981-08-20,1.2124,1.6402
1981-08-21,1.2061,1.6309
1981-08-24,1.2087,1.6227
1981-08-25,1.2142,1.6049
1981-08-26,1.2138,1.6129
1981-08-27,1.2112,1.6129
1981-08-28,1.2021,1.6209
1981-08-31,1.202,1.6209
1981-09-01,1.2041,1.6209
1981-09-02,1.1959,1.6372
1981-09-03,1.1944,1.6372
1981-09-04,1.1982,1.6165
1981-09-07,1.1982,1.6337
1981-09-08,1.2008,1.6337
1981-09-09,1.2086,1.6418
1981-09-10,1.2017,1.65
1981-09-11,1.2043,1.6599
1981-09-14,1.202,1.6483
1981-09-15,1.1999,1.6483
1981-09-16,1.2025,1.6565
1981-09-17,1.2025,1.6565
1981-09-18,1.2001,1.6682
1981-09-21,1.1961,1.6682
1981-09-22,1.1982,1.6798
1981-09-23,1.1986,1.6798
1981-09-24,1.1976,1.6798
1981-09-25,1.1983,1.6798
1981-09-28,1.2042,1.6798
1981-09-29,1.2029,1.6798
1981-09-30,1.2069,1.6798
1981-10-01,1.2054,1.6798
1981-10-02,1.2045,1.6798
1981-10-05,1.1991,1.6798
1981-10-06,1.2004,1.6882
1981-10-07,1.1989,1.6882
1981-10-08,1.1992,1.6882
1981-10-09,1.1975,1.7085
1981-10-12,1.1975,1.717
1981-10-13,1.1978,1.717
1981-10-14,1.2011,1.717
1981-10-15,1.2003,1.717
1981-10-16,1.2031,1.7273
1981-10-19,1.2021,1.7273
1981-10-20,1.2019,1.7359
1981-10-21,1.2056,1.7359
1981-10-22,1.2061,1.7359
1981-10-23,1.2045,1.7359
1981-10-26,1.2081,1.7359
1981-10-27,1.2084,1.7272
1981-10-28,1.2074,1.7429
1981-10-29,1.2057,1.7429
1981-10-30,1.203,1.7392
1981-11-02,1.1991,1.748
1981-11-03,1.1991,1.748
1981-11-04,1.1968,1.748
1981-11-05,1.1973,1.748
1981-11-06,1.1929,1.7567
1981-11-09,1.1918,1.7567
1981-11-10,1.1939,1.7672
1981-11-11,1.1939,1.7813
1981-11-12,1.1901,1.7813
1981-11-13,1.1889,1.7813
1981-11-16,1.1866,1.7742
1981-11-17,1.1879,1.7813
1981-11-18,1.1794,1.7724
1981-11-19,1.1838,1.7512
1981-11-20,1.1846,1.7512
1981-11-23,1.1829,1.7512
1981-11-24,1.1803,1.7599
1981-11-25,1.1799,1.7599
1981-11-26,1.1799,1.7511
1981-11-27,1.1768,1.7511
1981-11-30,1.1766,1.7511
1981-12-01,1.1784,1.7511
1981-12-02,1.1776,1.7511
1981-12-03,1.1813,1.7511
1981-12-04,1.1783,1.7511
1981-12-07,1.1836,1.7511
1981-12-08,1.1836,1.7616
1981-12-09,1.1834,1.7616
1981-12-10,1.1863,1.7616
1981-12-11,1.1894,1.7686
1981-12-14,1.196,1.7686
1981-12-15,1.1934,1.7686
1981-12-16,1.1921,1.7686
1981-12-17,1.1898,1.7598
1981-12-18,1.1884,1.751
1981-12-21,1.1863,1.7598
1981-12-22,1.1822,1.751
1981-12-23,1.1816,1.751
1981-12-24,1.1836,1.7597
1981-12-25,1.1836,1.7667
1981-12-28,1.181,1.7667
1981-12-29,1.1857,1.7667
1981-12-30,1.1839,1.7667
1981-12-31,1.1863,1.7667
1982-01-01,1.1863,1.7755
1982-01-04,1.1866,1.7755
1982-01-05,1.1895,1.7755
1982-01-06,1.1863,1.7845
1982-01-07,1.1876,1.7934
1982-01-08,1.1863,1.8113
1982-01-11,1.1897,1.8113
1982-01-12,1.1912,1.8041
1982-01-13,1.1908,1.8149
1982-01-14,1.1941,1.8367
1982-01-15,1.1946,1.8367
1982-01-18,1.1956,1.8092
1982-01-19,1.1938,1.8092
1982-01-20,1.1946,1.8218
1982-01-21,1.191,1.8
1982-01-22,1.1945,1.8
1982-01-25,1.1984,1.791
1982-01-26,1.1949,1.791
1982-01-27,1.1969,1.773
1982-01-28,1.198,1.7872
1982-01-29,1.1967,1.7997
1982-02-01,1.2016,1.7853
1982-02-02,1.2067,1.7853
1982-02-03,1.2074,1.7727
1982-02-04,1.2048,1.7727
1982-02-05,1.2058,1.7815
1982-02-08,1.2087,1.7815
1982-02-09,1.2168,1.7673
1982-02-10,1.2144,1.7673
1982-02-11,1.2098,1.7673
1982-02-12,1.2098,1.7673
1982-02-15,1.2098,1.7796
1982-02-16,1.2185,1.7686
1982-02-17,1.2182,1.7689
1982-02-18,1.2146,1.7565
1982-02-19,1.2168,1.7319
1982-02-22,1.2164,1.7319
1982-02-23,1.2207,1.7233
1982-02-24,1.2203,1.7233
1982-02-25,1.2216,1.7233
1982-02-26,1.229,1.7181
1982-03-01,1.2278,1.7404
1982-03-02,1.2253,1.7492
